id,name,duration,genre,titleYear,releaseDate,director,language,budget,cast,link
1988,Anaahat,90,Drama,2004,2004-05-06,Amol Palekar,Marathi,0,"Sonali Bendre,Anant Nag,Deepti Naval",http://www.imdb.com/title/tt0371536/?ref_=adv_li_tt
1989,Anaam,0,"Action, Drama, Mystery",1992,1992-11-03,Ramesh Modi,Hindi,0,"Arman Kohli,Ayesha Jhulka,Kiran Kumar,Kulbhushan Kharbanda,Laxmikant Berde,Tej Sapru,Ajit Vachani,Anjana Mumtaz,Yunus Parvez,Subbiraj,Mushtaq Khan,Reshma Singh,Ananth Narayan Mahadevan,Arun Bakshi,Master Imran",http://www.imdb.com/title/tt0391741/?ref_=adv_li_tt
1990,Anaamika,145,Thriller,2014,2014-05-01,Sekhar Kammula,Tamil,0,"Nayanthara,Vaibhav Reddy,Pasupathy,Harshvardhan Rane,Sriranjani,Dheer Charan Srivastav",http://www.imdb.com/title/tt2939898/?ref_=adv_li_tt
1991,Anaar,0,Drama,1986,1986-01-01,,Hindi,0,"Madhuri Mishra,Pallavi,Sachin,Om Shivpuri,Subbiraj",http://www.imdb.com/title/tt2690720/?ref_=adv_li_tt
1992,Anaarkali,0,Action,2013,2013-06-21,Roy,Telugu,20000000,"Srinivasa Rao Kota,Omkar Pilli,Prabha,Gauri Sharma",http://www.imdb.com/title/tt5219218/?ref_=adv_li_tt
1993,Anaavarnam,0,,1976,,A. Vincent,Malayalam,0,,http://www.imdb.com/title/tt0310639/?ref_=adv_li_tt
1994,Anadha Silpangal,0,,1971,,M.K. Ramu,Malayalam,0,,http://www.imdb.com/title/tt0257396/?ref_=adv_li_tt
1995,Anadhai Anandhan,0,,1970,,R. Krishnan,Tamil,0,"Jayalalitha J,A.V.M. Rajan",http://www.imdb.com/title/tt0233211/?ref_=adv_li_tt
1996,Anadhai Penn,0,,1938,,R.S. Prakash,Tamil,0,,http://www.imdb.com/title/tt0254087/?ref_=adv_li_tt
1997,Anadhai Penn,0,,1930,,Raja Sandow P.K.,,0,,http://www.imdb.com/title/tt0258414/?ref_=adv_li_tt
1998,Anadi Khiladi,0,Action,1986,1986-01-01,,Hindi,0,"Jalal Agha,Puneet Issar,Huma Khan,Satyajeet,Om Shivpuri,Pushpa Soni,Tanuja,Mayur Verma",http://www.imdb.com/title/tt2708356/?ref_=adv_li_tt
1999,Anaganaga O Dheerudu,133,"Adventure, Family, Fantasy",2011,2011-01-21,Prakash Rao,Telugu,270000000,"Siddharth,Shruti Haasan,Lakshmi Manchu,Harshitha,Ravi Babu,Vallabhaneni Ramji,Brahmanandam,Ali,Tanikella Bharani,Sudarshan,Charan,Madhavi,Hari Teja,Subbaraju,Subbaraya Sarma",http://www.imdb.com/title/tt1621994/?ref_=adv_li_tt
2000,Anaganaga O Kurraadu,0,Romance,2003,2003-08-15,L.P. Ramarao,Telugu,0,"Rohit,Rekha Vedavyasa,Banerji,Chalapathi Rao,Gundu Hanumantha Rao,Devadas Kanakala,Rajeev Kanakala,Kadambari Kiran,Vizag Prasad,Sangeetha,Dharmavarapu Subramanyam",http://www.imdb.com/title/tt3426122/?ref_=adv_li_tt
2001,Anaganaga Oka Ammayi,0,Romance,1999,1999-09-02,Ramesh Sarangan,Telugu,30000000,"Abbas,Ali,Annapoorna,Brahmanandam,Chandramohan,M.S. Narayana,Raghuvaran,Sivaji Raja,Gowtam Raju,Rallapalli,Akshay Reddy,Junior Relangi,Subbaraya Sarma,Soundarya,Srikanth",http://www.imdb.com/title/tt1575510/?ref_=adv_li_tt
2002,Anaganaga Oka Roju,0,"Drama, Action, Thriller",1997,,Ram Gopal Varma,Telugu,0,"J.D. Chakravarthi,Urmila Matondkar,Brahmanandam,Raghuvaran,Srinivasa Rao Kota,Rami Reddy,Suthi Velu,Chalapathi Rao,Vijaya Y.,Kallu Chidambaram,Aahuthi Prasad,Uttej,Narsing Yadav,Surya",http://www.imdb.com/title/tt0247924/?ref_=adv_li_tt
2003,Anaganaga Oka Thandri,0,,1974,,Rao C.S.R.,Telugu,0,Gummadi,http://www.imdb.com/title/tt0261530/?ref_=adv_li_tt
2004,Anagha,0,,1989,,P.R.S. Babu,Malayalam,0,,http://www.imdb.com/title/tt0353182/?ref_=adv_li_tt
2005,Anakh Jattan Dee,160,Action,1990,1990-06-04,Ravinder Ravi,Panjabi,0,"Sharan Deep,Palvinder Dhami,Gugu Gill,Daljit Kaur,Sangeeta Mehta,Mehar Mittal,Devinder Paul,Surendra Sharma,Surinder Shinda,Yograj Singh,Surinder",http://www.imdb.com/title/tt1393007/?ref_=adv_li_tt
2006,Anal Kaatru,0,,1982,1982,Komal Swaminathan,Tamil,0,"Rajesh,Ravinder,Vanitha",http://www.imdb.com/title/tt3323842/?ref_=adv_li_tt
2007,Anamika,125,"Mystery, Romance, Musical",1973,,Raghunath Jhalani,Hindi,0,"Sanjeev Kumar,Jaya Bhaduri,Iftekhar,Asrani,A.K. Hangal,Ashoo,Meena T.,Baby Pinky,Shivraj,Helen,Yunus Parvez,Madhup Sharma,Raj Narayan,Chinoo,Oscar Unger",http://www.imdb.com/title/tt0069711/?ref_=adv_li_tt
2008,Anamika: The Untold Story,0,"Drama, Romance, Thriller",2008,2008-05-02,Ananth Narayan Mahadevan,Hindi,0,"Dino Morea,Minissha Lamba,Koena Mitra,Gulshan Grover,Achint Kaur,Prithvi Zutshi,Vishwajeet Pradhan,Jatin Grewal,Aarti Chhabria",http://www.imdb.com/title/tt0885398/?ref_=adv_li_tt
2009,Anand,122,Drama,1971,1971-03-12,Hrishikesh Mukherjee,Hindi,3000000,"Rajesh Khanna,Amitabh Bachchan,Sumita Sanyal,Ramesh Deo,Seema Deo,Asit Kumar Sen,Dev Kishan,Atam Prakash,Lalita Kumari,Savita,Brahm Bhardwaj,Gurnam Singh,Lalita Pawar,Durga Khote,Dara Singh",http://www.imdb.com/title/tt0066763/?ref_=adv_li_tt
2010,Anand,0,"Comedy, Drama, Musical",2004,2004-10-15,Sekhar Kammula,Telugu,15000000,"Raja,Kamalinee Mukherjee,Master Abhijit,Baby Bakita,Anuj Gurwara,Satya Krishnan,Anish Kuruvilla,Gopichand Lagadapati",http://www.imdb.com/title/tt0857300/?ref_=adv_li_tt
2011,Anand,0,,1987,,C.V. Rajendran,Tamil,0,"Prabhu,Radha",http://www.imdb.com/title/tt0092556/?ref_=adv_li_tt
2012,Anand,0,,1987,,Singeetham Srinivasa Rao,,0,,http://www.imdb.com/title/tt1427833/?ref_=adv_li_tt
2013,Anand Aur Anand,0,"Family, Drama, Romance",1984,,Dev Anand,Hindi,0,"Dev Anand,Suneil Anand,Raj Babbar,Rakhee Gulzar,Smita Patil,Natasha Sinha,Rakesh Bedi,Biswajeet,Birbal,Sudhir",http://www.imdb.com/title/tt0154143/?ref_=adv_li_tt
2014,Anand Bhawan,0,,1953,,S.M. Yusuf,Hindi,0,"Trilok Kapoor,Nigar Sultana",http://www.imdb.com/title/tt0380182/?ref_=adv_li_tt
2015,Anand Mahal,0,,1977,1977,Basu Bhattacharya,Hindi,0,"Vijay Arora,Manik Dutt,Sarika",http://www.imdb.com/title/tt0121073/?ref_=adv_li_tt
2016,Anand Math,176,,1952,1952,Hemen Gupta,Hindi,0,"Prithviraj Kapoor,Ranjana,Pradeep Kumar,Ajit,Bharat Bhushan,Geeta Bali,Murad,Michael,Suresh,Bahujbal Singh,S. Burhan,Jankidas,Goldstein,Young,Noorjahan",http://www.imdb.com/title/tt0215515/?ref_=adv_li_tt
2017,Ananda,0,,1986,,Singeetham Srinivasa Rao,Kannada,0,,http://www.imdb.com/title/tt0264363/?ref_=adv_li_tt
2018,Ananda Ashram,127,"Drama, Family",1977,,Shakti Samanta,Hindi,0,"Ashok Kumar,Uttam Kumar,Sharmila Tagore,Rakesh Roshan,Moushumi Chatterjee,Utpal Dutt,Anita Guha,Asit Kumar Sen,Manik Dutt,Chandrima Bhaduri,Alankar Joshi,Prema Narayan,C.S. Dubey,Master Ravi,Master Raju",http://www.imdb.com/title/tt0268141/?ref_=adv_li_tt
