id,name,duration,genre,titleYear,releaseDate,director,language,budget,cast,link
88,Achchamundu! Achchamundu!,135,"Drama, Thriller",2009,2009-04-05,Arun Vaidyanathan,Tamil,0,"John Shea,Lucas Near-Verbrugghe,Sneha,Andrea Harrison,Mark Stolzenberg,Jonathan Wu,Tatiana Suarez-Pico,Prasanna,E. Austin Valentine,Dion Matthews,Vasanth Santosham,Dheepa Ramanujam,John Stagnari,Dinesh Sundaram,Mohammed Qasim",http://www.imdb.com/title/tt1213631/?ref_=adv_li_tt
89,Achchani,0,,1978,,Karaikudi Narayanan,Tamil,0,,http://www.imdb.com/title/tt0273408/?ref_=adv_li_tt
90,Action,0,Comedy,2013,2013-06-21,Anil Sunkara,Telugu,0,"Allari Naresh,Shaam,Vaibhav Reddy,Raju Sundaram,Kamna Jethmalani,Sneha Ullal,Sudeep,Neelam Upadhyaya,Sheena Shahabadi",http://www.imdb.com/title/tt2370244/?ref_=adv_li_tt
91,Adam Velli,0,,1990,,Ramanarayanan,Tamil,0,,http://www.imdb.com/title/tt0369214/?ref_=adv_li_tt
92,Adharmam,152,Action,1994,,Ramesh Krishnan,Tamil,0,"Murali,Nassar",http://www.imdb.com/title/tt0275897/?ref_=adv_li_tt
93,Adhibar,0,"Action, Thriller",2015,2015-08-28,Surya Prakash,Tamil,0,"Madan Bob,'University' Jeevan,Bharathi Kannan,Raj Kapoor,Bava Lakshmanan,Sangili Murugan,Nandha,Poorni,Vidya Pradeep,Rajendran,Mohan Raman,Thambi Ramayya,Ranjith,Renuka,Richard Rishi",http://www.imdb.com/title/tt4991828/?ref_=adv_li_tt
94,Adhiradippadai,0,,1994,,,Tamil,0,,http://www.imdb.com/title/tt0317055/?ref_=adv_li_tt
95,Adhisaya Ulagam,0,"Adventure, Sci-Fi",2012,2012-08-10,Shakthi Scott,Tamil,0,"Livingston,Sreelakshmy N. Nair,Mannan Prithiv Raj,Anandha Kannan,George Antony,Latha Rao,Lena Mohan,Shakthi Scott",http://www.imdb.com/title/tt3277790/?ref_=adv_li_tt
96,Adhurs,150,"Action, Comedy, Crime",2010,2010-01-13,Vinayak V.V.,Telugu,320000000,"Junior N.T.R.,Nayanthara,Sheela Kaur,Ananth,Raghu Babu,Tanikella Bharani,Brahmanandam,Mukul Dev,Lakshman Rao Kondavalasa,Venu Madhav,Mahesh Manjrekar,M.S. Narayana,Nassar,Vinay Prasad,Rajyalakshmi",http://www.imdb.com/title/tt1582466/?ref_=adv_li_tt
97,Adi Parasakthi,0,,1971,,K.S. Gopalakrishnan,Tamil,0,Jayalalitha J,http://www.imdb.com/title/tt0215468/?ref_=adv_li_tt
98,Adi Thadi,0,,2004,,,Tamil,0,"Clive Dev,Satyaraj",http://www.imdb.com/title/tt2325509/?ref_=adv_li_tt
99,Adimai Penn,180,Drama,1969,,K. Shankar,Tamil,0,"Jayalalitha J,R.S. Manohar,M.G. Ramachandran,Cho Ramaswamy",http://www.imdb.com/title/tt0317056/?ref_=adv_li_tt
100,Adisaya Manithan,0,,1990,,Velu Prabhakaran,Tamil,0,,http://www.imdb.com/title/tt0370255/?ref_=adv_li_tt
101,Adisaya Piravi,0,"Action, Comedy, Fantasy",1990,,S.P. Muthuraman,Tamil,0,"Rajinikanth,Jai Ganesh,Gopi,Chinni Jayanth,Kamala Kamesh,Kanaka,Madhavi,Nagesh,S.N. Parvathi,V.K. Ramasamy,Cho Ramaswamy,Senthamarai,Sheeba,Sudhakar,Vijayalalitha",http://www.imdb.com/title/tt0318275/?ref_=adv_li_tt
102,Adisaya Thirudan,0,,1959,,P. Pullaiah,Tamil,0,"Gemini Ganesan,Savitri",http://www.imdb.com/title/tt0255778/?ref_=adv_li_tt
103,Adithan Kanavu,0,,1948,,T.R. Sundaram,Tamil,0,Anjali Devi,http://www.imdb.com/title/tt0388682/?ref_=adv_li_tt
104,Adra Machan Visilu,0,Comedy,2016,2016-07-07,Thiraivannan,Tamil,0,"Arun Balaji,T.P. Gajendran,Raj Kapoor,Mansoor Ali Khan,Jangiri Madhumitha,Naina Sarwar,Sentrayan,Ambani Shankar,Shiva,Singamuthu,Powerstar Srinivasan",http://www.imdb.com/title/tt5867388/?ref_=adv_li_tt
105,Adrushtavanthalu,174,Drama,1969,1969-01-03,V. Madhusudan Rao,Tamil,0,"Akkineni Nageshwara Rao,Jayalalitha J,Kongara Jaggaiah,Gummadi,Padmanabham",http://www.imdb.com/title/tt0290400/?ref_=adv_li_tt
106,Adukku Malli,0,,1979,,K.S. Gopalakrishnan,Tamil,0,,http://www.imdb.com/title/tt0215469/?ref_=adv_li_tt
107,Adutha Varisu,0,,1983,,S.P. Muthuraman,Tamil,0,"Rajinikanth,Sridevi,Varalakshmi S.,Aachi Manorama,Goundamani",http://www.imdb.com/title/tt0186801/?ref_=adv_li_tt
108,Adutha Veetu Penn,0,,1960,,Vedantam Raghavaiah,Tamil,0,Anjali Devi,http://www.imdb.com/title/tt0256584/?ref_=adv_li_tt
109,Adutha kattam,86,"Horror, Thriller",2012,2012-12-06,Muralikrishnan Munian,Tamil,0,"Devendran Arunasalam,Gantiban Ben,Augustine Leo,Malar Meni Perumal,D. Rajam,Kalpana Devi Rajamohan,Sasitharan Rajoo,Aghonderan Sahadevan",http://www.imdb.com/title/tt2879080/?ref_=adv_li_tt
110,Aduthathu Albert,0,,1985,,G.N. Rangarajan,Tamil,0,,http://www.imdb.com/title/tt0318967/?ref_=adv_li_tt
111,Advantha Daivam,0,,1960,,P. Neelakantan,Tamil,0,Anjali Devi,http://www.imdb.com/title/tt0247913/?ref_=adv_li_tt
