id,name,duration,genre,titleYear,releaseDate,director,language,budget,cast,link
8111,Dui Parba,0,,1964,1964-09-18,Binu Bardhan,Bengali,0,"Kali Bannerjee,Jahar Ganguli",http://www.imdb.com/title/tt1538260/?ref_=adv_li_tt
8112,Dui Prithibi,150,Drama,2010,2010-10-14,Raj Chakraborty,Bengali,35000000,"Jeet,Koyel Mallick,Barkha Bisht,Manoj Mitra,Kharaj Mukherjee,Debranjan Nag,Suman Bannerjee,B.D. Mukherjee,Kalyan Chatterjee,Supriyo Dutta,Pradeep Bhattacharya,Dev,Pradip Adhikari,Sudin Adhikari,Chandra Banerjee",http://www.imdb.com/title/tt1737156/?ref_=adv_li_tt
8113,Dui Purush,0,Family,1945,1945-08-30,Subodh Mitra,Bengali,0,"Sunanda Banerjee,Chhabi Biswas,Amita Bose,Harimohan Bose,Naresh Bose,Tulsi Chakraborty,Ahindra Choudhury,Sailen Choudhury,Chandrabati Devi,Jahar Ganguli,Rekha Mallick,Naresh Mitra,Shuktidhara",http://www.imdb.com/title/tt0396571/?ref_=adv_li_tt
8114,Dui Purush,0,Family,1978,1978-02-24,Sushil Mukherjee,Bengali,0,"Uttam Kumar,Supriya Choudhury,Master Atanu,Satya Banerjee,Pradip Basu,Shishir Batabyal,Khudiram Bhattacharya,Shambhu Bhattacharya,Munna Chakrabarty,Rasuraj Chakraborthy,Lily Chakravarty,Biren Chatterjee,Rani Chowdhury,Sudhir Roy Chowdhury,Balai Das",http://www.imdb.com/title/tt0404929/?ref_=adv_li_tt
8115,Duja Viah,0,Comedy,1984,1984,,Panjabi,0,"Rajni Bala,Ved Goswami,Mehar Mittal,Shashi Puri,Priti Sapru Walia",http://www.imdb.com/title/tt0454443/?ref_=adv_li_tt
8116,Dujane,117,"Drama, Romance",1984,1984,Ardhendu Chatterjee,Bengali,0,"Biplab Chatterjee,Mithu Mukherjee,Joy Sengupta,Haradhan Bannerjee,Pradip Kumar,Uma Bandyopadhyay,Kalpana Iyer",http://www.imdb.com/title/tt4300638/?ref_=adv_li_tt
8117,Dujone,136,Romance,2009,2009-09-17,Rajib Biswas,Bengali,0,"Arun Bannerjee,Seema Biswas,Srabanti Chatterjee,Debesh Roy Chowdhury,Dev,Arijit Dutt,Kharaj Mukherjee",http://www.imdb.com/title/tt1547039/?ref_=adv_li_tt
8118,Dukaan: Pila House,0,,2004,2004-05-21,Iqbal Durrani,Hindi,0,"Rati Agnihotri,Rana Jung Bahadur,Deepshika,Salim Ghouse,Jyoti Joshi,Vikas Kalantri,Goga Kapoor,Shahbaaz Khan,Alisha Narone,Rambha,Nawab Shah,Mukesh Tiwari,Pushpa Verma",http://www.imdb.com/title/tt0414953/?ref_=adv_li_tt
8119,Dukh Bhanjan Tera Naam,0,,1974,,,Panjabi,0,"Dharmendra,Dara Singh,Sunil Dutt,Rajendra Kumar,Manmohan Krishna,Johnny Walker,Om Prakash,Ranjeet,Radha Saluja,D.K. Sapru,Shaminder",http://www.imdb.com/title/tt0308194/?ref_=adv_li_tt
8120,Dukh Pardesaan De,0,Drama,1997,1997-01-01,Sarbjeet Dhaliwal,Panjabi,0,"Abhinash Bachchan,Sarbjeet Dhaliwal,Jogi Dhillon,Jas Heer,Robin Jwanda,Rana Mand,Mehar Mittal,Avtar Rakhra,Dara Sahota,Gurinder Sandhu,Kitti Sarao,Pinder Toor,Sonia Virk",http://www.imdb.com/title/tt4786734/?ref_=adv_li_tt
