id,name,duration,genre,titleYear,releaseDate,director,language,budget,cast,link
1627,Lakshyam,0,"Action, Drama, Romance",2007,2007-07-06,Vasu Oleti,Telugu,80000000,"Tottempudi Gopichand,Anushka Shetty,Jagapathi Babu,Yashpal Sharma,Ali,Amit,Raghu Babu,Ravi Babu,Brahmanandam,Chalapathi Rao,Vajja Venkata Giridhar,Kalyani,Srinivasa Rao Kota,Venu Madhav,Pragathi",http://www.imdb.com/title/tt1043851/?ref_=adv_li_tt
1628,Lambadolla Ramadasu,0,Musical,1978,,Babu Rao K.,Telugu,0,"Chalam,Pandharibai,Rojaramani",http://www.imdb.com/title/tt0371785/?ref_=adv_li_tt
1629,Lanchavatharam,0,,1985,,Narayana Rao Dasari,Telugu,0,,http://www.imdb.com/title/tt0262558/?ref_=adv_li_tt
1630,Lanka Dahanam,0,"Musical, Drama",1936,,Sadasiva Rao Kallakoori,Telugu,0,Raghuramaiah Kalyanam,http://www.imdb.com/title/tt0280860/?ref_=adv_li_tt
1631,Lanke Bindelu,0,,1983,,Vijaya Nirmala,Telugu,0,"Anjali Devi,Krishna Ghattamaneni,Jayasudha,Sridevi",http://www.imdb.com/title/tt0187233/?ref_=adv_li_tt
1632,Lankeshwarudu,157,"Action, Drama",1989,1989-10-27,Narayana Rao Dasari,Telugu,0,"Mohan Babu,Brahmanandam,Chiranjeevi,Satyanarayana Kaikala,Radha,Raghuvaran,Revathy",http://www.imdb.com/title/tt0246032/?ref_=adv_li_tt
1633,Lava Kusa,0,"Drama, Family, Musical",1963,1963-03-29,Rao C.S.R.,Telugu,0,"Taraka Rama Rao Nandamuri,Anjali Devi,Chittor V. Nagaiah,Kanta Rao,Satyanarayana Kaikala,Janardhana Rao Arja,Kannamba,Varalakshmi S.,Shobhan Babu,Relangi Venkatramaiah,Girija,Master Nagaraju,Master Subrahmanyam,Gemini Ganesan,Ramana Reddy",http://www.imdb.com/title/tt0206877/?ref_=adv_li_tt
1634,Lava Kusa: The Warrior Twins,120,Animation,2010,2010,Dhavala Satyam,English,0,"Arun Govil,Robert Lang,Vindu Dara Singh,Gary Tantony",http://www.imdb.com/title/tt1607568/?ref_=adv_li_tt
1635,Lava Kusha,165,"Musical, Drama",1934,,Chittajalu Pullayya,Telugu,0,"Parepalli Subba Rao,Sriranjani Sr.,Master Bhimarao,Malleshwara Rao,Parepalli Satyanarayana,Bhushana Sastry",http://www.imdb.com/title/tt0255315/?ref_=adv_li_tt
1636,Lawyer Bharti Devi,0,,1987,,K. Rama Mohan Rao,Telugu,0,Sharada,http://www.imdb.com/title/tt0361822/?ref_=adv_li_tt
